transaction_id,date,year,month,quarter,day_of_week,product_category,region,channel,salesperson_id,quantity,unit_price,discount,revenue,profit,customer_churned,revenue_band,is_discounted
TXN003471,2021-01-01,2021,1,1,Friday,Electronics,West,Retail Store,SP_015,8,511.84,0.1,3685.25,1022.55,1,L,1
TXN002112,2021-01-01,2021,1,1,Friday,Electronics,Central,Online,SP_001,7,465.43,0.15,2769.31,862.26,0,L,1
TXN002998,2021-01-02,2021,1,1,Saturday,Books,Central,Retail Store,SP_003,9,26.85,0.0,241.65,151.72,0,S,0
TXN000845,2021-01-02,2021,1,1,Saturday,Books,East,Online,SP_019,6,26.81,0.15,136.73,98.0,0,XS,1
TXN002956,2021-01-02,2021,1,1,Saturday,Electronics,West,Retail Store,SP_037,6,418.11,0.15,2132.36,538.61,0,L,1
TXN003777,2021-01-02,2021,1,1,Saturday,Electronics,North,Wholesale,SP_019,9,492.33,0.0,4430.97,1129.78,0,L,0
TXN001768,2021-01-02,2021,1,1,Saturday,Clothing,South,Retail Store,SP_020,5,69.96,0.0,349.8,208.68,1,S,0
TXN001901,2021-01-02,2021,1,1,Saturday,Home Goods,West,Mobile App,SP_017,6,103.63,0.0,621.78,220.05,0,M,0
TXN000021,2021-01-02,2021,1,1,Saturday,Books,East,Mobile App,SP_002,5,28.21,0.0,141.05,89.05,0,XS,0
TXN002779,2021-01-03,2021,1,1,Sunday,Electronics,South,Retail Store,SP_040,10,425.76,0.0,4257.6,1291.53,1,L,0
TXN004476,2021-01-03,2021,1,1,Sunday,Home Goods,East,Wholesale,SP_017,8,136.87,0.0,1094.96,449.82,1,L,0
TXN004412,2021-01-03,2021,1,1,Sunday,Electronics,East,Retail Store,SP_025,7,389.62,0.05,2590.97,635.99,0,L,1
TXN002936,2021-01-04,2021,1,1,Monday,Books,South,Retail Store,SP_019,6,21.57,0.0,129.42,94.29,0,XS,0
TXN001775,2021-01-04,2021,1,1,Monday,Books,Central,Mobile App,SP_005,4,26.84,0.05,101.99,70.17,1,XS,1
TXN001360,2021-01-05,2021,1,1,Tuesday,Books,West,Retail Store,SP_020,6,24.64,0.15,125.66,89.34,0,XS,1
TXN003362,2021-01-05,2021,1,1,Tuesday,Sports,Central,Online,SP_039,7,98.05,0.15,583.4,190.34,0,M,1
TXN004388,2021-01-05,2021,1,1,Tuesday,Home Goods,East,Mobile App,SP_003,3,125.46,0.05,357.56,169.57,0,S,1
TXN002681,2021-01-05,2021,1,1,Tuesday,Electronics,North,Mobile App,SP_030,4,399.04,0.05,1516.35,490.7,1,L,1
